Date,XLF_ret1,XOP_ret1,XLK_ret1,,,,,,,,,,,,,,,
12/31/13,FILL IN THE REST OF THE CALCS,,,,,,,,,,,,,,,,,
4/24/14,-0.000453781,0.003476184,0.007792934,,,,,,,,,,,,,,,
4/25/14,-0.008170684,-0.018218878,-0.01270405,,,,,,,,,,,,,,,
4/28/14,-0.005949428,-0.00209082,0.009510942,,,,,,,,,,,,,,,
4/29/14,0.009668013,0.013095314,0.006927035,,,,,,,,,,,,,,,
4/30/14,0.001368036,0.00323215,0.003026891,,,,,,,,,,,,,,,
5/1/14,0.001821601,-0.010823753,0.001097341,,,,,,,,,,,,,,,
5/2/14,-0.000454268,0.006643778,-0.00274011,,,,,,,,,,,,,,,
5/5/14,-0.004093043,-0.00232942,0.005221094,,,,,,,,,,,,,,,
5/6/14,-0.0141551,-0.003891474,-0.011208632,,,,,,,,,,,,,,,
5/7/14,0.013432003,0.000911622,0.000552902,,,,,,,,,,,,,,,
5/8/14,0.002742256,-0.02992035,0.002763487,,,,,,,,,,,,,,,
5/9/14,-0.000455985,-0.001743231,0.00110221,,,,,,,,,,,,,,,
5/12/14,0.010032241,0.009537738,0.013487474,,,,,,,,,,,,,,,
5/13/14,-0.000903256,0.00864949,0.00054311,,,,,,,,,,,,,,,
5/14/14,-0.00722949,-0.010422254,-0.004614473,,,,,,,,,,,,,,,
5/15/14,-0.011379176,-0.010132172,-0.005999553,,,,,,,,,,,,,,,
5/16/14,0.001381057,-0.000538262,0.006309779,,,,,,,,,,,,,,,
5/19/14,0.00505746,0.00943254,0.006543102,,,,,,,,,,,,,,,
5/20/14,-0.005946842,-0.007609261,-0.005687723,,,,,,,,,,,,,,,
5/21/14,0.00644281,0.01708365,0.006810293,,,,,,,,,,,,,,,
5/22/14,0.004572469,-0.003041895,0.001893917,,,,,,,,,,,,,,,
5/23/14,0.003185977,-0.008092007,0.008371716,,,,,,,,,,,,,,,
5/27/14,0.008620555,0.010832961,0.008569695,,,,,,,,,,,,,,,
5/28/14,-0.001799476,0.011378983,-0.002655496,,,,,,,,,,,,,,,
5/29/14,0.0022533,0.018183774,0.005857635,,,,,,,,,,,,,,,
5/30/14,0.002248434,-0.010150701,0.001058921,,,,,,,,,,,,,,,
6/2/14,0.002691948,-0.011292688,-0.001586882,,,,,,,,,,,,,,,
6/3/14,0.001342128,0.007089516,-0.001588951,,,,,,,,,,,,,,,
6/4/14,0.00268099,0.002737833,0.001856863,,,,,,,,,,,,,,,
6/5/14,0.009358075,0.008710299,0.006619164,,,,,,,,,,,,,,,
6/6/14,0.006622283,0.006701871,0.004470896,,,,,,,,,,,,,,,
6/9/14,0.004386159,0.003200654,0.00314248,,,,,,,,,,,,,,,
6/10/14,-0.000436674,-0.00510443,0.000521957,,,,,,,,,,,,,,,
6/11/14,-0.006552849,0.009876412,-0.002348058,,,,,,,,,,,,,,,
6/12/14,-0.006156194,0.013336565,-0.008630177,,,,,,,,,,,,,,,
